Date,Main Pollutant,Overall AQI Value,CO,SO2,NO2,Ozone,PM25
01/01/2015,PM2.5,61,15,1,37,31,61
01/02/2015,PM2.5,76,19,7,41,25,76
01/03/2015,PM2.5,96,20,4,36,19,96
01/04/2015,PM2.5,99,30,3,42,25,99
01/05/2015,PM2.5,91,19,6,50,28,91
01/06/2015,PM2.5,102,19,30,53,30,102
01/07/2015,PM2.5,79,19,4,54,24,79
01/08/2015,PM2.5,109,20,16,51,19,109
01/09/2015,PM2.5,91,16,4,45,7,91
01/10/2015,PM2.5,72,11,3,34,16,72
01/11/2015,PM2.5,70,11,1,25,19,70
01/12/2015,PM2.5,57,14,1,34,14,57
01/13/2015,PM2.5,53,19,3,41,26,53
01/14/2015,PM2.5,81,13,1,30,19,81
01/15/2015,PM2.5,102,16,3,42,20,102
01/16/2015,PM2.5,95,13,4,43,16,95
01/17/2015,PM2.5,64,8,3,29,17,64
01/18/2015,PM2.5,58,8,1,21,11,58
01/19/2015,PM2.5,44,9,1,25,17,44
01/20/2015,PM2.5,60,15,3,26,15,60
01/21/2015,PM2.5,55,16,3,38,19,55
01/22/2015,PM2.5,65,10,3,29,11,65
01/23/2015,PM2.5,72,14,4,44,24,72
01/24/2015,PM2.5,71,11,3,27,24,71
01/25/2015,PM2.5,71,18,4,32,21,71
01/26/2015,PM2.5,67,23,4,42,19,67
01/27/2015,PM2.5,49,14,3,43,23,49
01/28/2015,PM2.5,62,23,7,41,28,62
01/29/2015,PM2.5,60,13,4,42,27,60
01/30/2015,PM2.5,54,13,1,29,17,54
01/31/2015,PM2.5,42,15,3,33,32,42
02/01/2015,PM2.5,62,11,4,30,19,62
02/02/2015,PM2.5,82,16,3,43,25,82
02/03/2015,PM2.5,74,14,11,38,17,74
02/04/2015,PM2.5,77,17,4,39,22,77
02/05/2015,PM2.5,47,7,1,33,29,47
02/06/2015,Ozone,28,6,0,22,28,21
02/07/2015,PM2.5,29,7,0,24,25,29
02/08/2015,Ozone,36,7,0,19,36,18
02/09/2015,PM2.5,45,7,0,25,33,45
02/10/2015,NO2,37,11,21,37,30,35
02/11/2015,PM2.5,40,15,7,32,23,40
02/12/2015,PM2.5,52,11,1,39,28,52
02/13/2015,PM2.5,58,18,3,43,28,58
02/14/2015,PM2.5,48,11,4,33,27,48
02/15/2015,PM2.5,54,18,3,34,28,54
02/16/2015,PM2.5,52,16,3,31,35,52
02/17/2015,PM2.5,50,7,0,28,37,50
02/18/2015,PM2.5,52,8,1,32,35,52
02/19/2015,PM2.5,63,8,6,29,19,63
02/20/2015,PM2.5,52,8,6,33,29,52
02/21/2015,PM2.5,53,14,3,25,29,53
02/22/2015,Ozone,33,8,1,20,33,28
02/23/2015,NO2,36,6,3,36,35,21
02/24/2015,NO2,42,10,4,42,32,37
02/25/2015,PM2.5,52,10,9,36,29,52
02/26/2015,PM2.5,47,11,1,31,30,47
02/27/2015,Ozone,34,6,0,32,34,21
02/28/2015,Ozone,32,8,1,30,32,28
03/01/2015,PM2.5,35,,1,28,30,35
03/02/2015,PM2.5,43,10,1,31,38,43
03/03/2015,PM2.5,52,11,4,42,31,52
03/04/2015,PM2.5,53,10,21,42,35,53
03/05/2015,PM2.5,52,17,7,43,40,52
03/06/2015,PM2.5,58,16,4,46,43,58
03/07/2015,PM2.5,54,15,7,35,42,54
03/08/2015,PM2.5,55,7,1,28,44,55
03/09/2015,PM2.5,54,6,0,27,31,54
03/10/2015,PM2.5,68,8,3,35,26,68
03/11/2015,PM2.5,43,6,9,31,38,43
03/12/2015,Ozone,37,9,6,35,37,31
03/13/2015,PM2.5,46,11,7,34,36,46
03/14/2015,PM2.5,54,8,6,40,44,54
03/15/2015,Ozone,42,8,0,33,42,33
03/16/2015,PM2.5,40,8,3,36,37,40
03/17/2015,Ozone,38,6,11,35,38,28
03/18/2015,PM2.5,41,6,14,28,34,41
03/19/2015,PM2.5,57,9,1,37,40,57
03/20/2015,PM2.5,45,8,1,37,43,45
03/21/2015,Ozone,39,6,0,19,39,31
03/22/2015,Ozone,36,6,0,11,36,26
03/23/2015,Ozone,41,6,1,24,41,32
03/24/2015,Ozone,36,7,10,33,36,29
03/25/2015,PM2.5,30,7,11,27,23,30
03/26/2015,NO2,70,11,4,70,47,45
03/27/2015,Ozone,31,8,1,31,31,29
03/28/2015,Ozone,44,7,1,22,44,43
03/29/2015,PM2.5,54,7,1,26,44,54
03/30/2015,PM2.5,51,8,4,30,34,51
03/31/2015,Ozone,41,6,10,35,41,33
04/01/2015,Ozone,43,6,14,26,43,29
04/02/2015,Ozone,44,7,1,32,44,33
04/03/2015,PM2.5,55,11,1,36,47,55
04/04/2015,Ozone,46,7,1,25,46,40
04/05/2015,Ozone,44,6,0,19,44,19
04/06/2015,Ozone,44,8,1,30,44,22
04/07/2015,Ozone,44,5,3,31,44,15
04/08/2015,Ozone,44,6,7,35,44,22
04/09/2015,Ozone,46,9,4,37,46,28
04/10/2015,Ozone,51,7,1,36,51,28
04/11/2015,Ozone,45,6,1,27,45,31
04/12/2015,Ozone,46,7,1,24,46,35
04/13/2015,Ozone,44,6,1,25,44,35
04/14/2015,Ozone,47,5,1,25,47,31
04/15/2015,Ozone,47,6,13,34,47,30
04/16/2015,Ozone,61,7,1,37,61,33
04/17/2015,Ozone,87,7,1,40,87,61
04/18/2015,Ozone,64,6,0,27,64,58
04/19/2015,PM2.5,50,7,0,12,49,50
04/20/2015,PM2.5,46,6,0,33,42,46
04/21/2015,Ozone,37,5,0,22,37,35
04/22/2015,PM2.5,56,6,6,25,40,56
04/23/2015,PM2.5,60,6,0,25,40,60
04/24/2015,Ozone,47,5,0,34,47,35
04/25/2015,Ozone,40,6,0,16,40,23
04/26/2015,Ozone,46,7,1,23,46,30
04/27/2015,Ozone,43,7,3,32,43,37
04/28/2015,PM2.5,35,6,7,21,34,35
04/29/2015,PM2.5,56,7,3,36,51,56
04/30/2015,Ozone,74,8,3,42,74,54
05/01/2015,Ozone,97,7,1,33,97,56
05/02/2015,Ozone,71,6,0,25,71,54
05/03/2015,Ozone,48,7,0,16,48,39
05/04/2015,Ozone,44,5,0,25,44,37
05/05/2015,PM2.5,49,5,,21,44,49
05/06/2015,PM2.5,54,6,,24,44,54
05/07/2015,PM2.5,52,6,1,29,41,52
05/08/2015,PM2.5,58,6,1,25,47,58
05/09/2015,PM2.5,45,5,0,12,43,45
05/10/2015,Ozone,44,6,0,10,44,41
05/11/2015,PM2.5,45,5,1,25,40,45
05/12/2015,PM2.5,44,6,4,40,44,44
05/13/2015,Ozone,44,5,0,24,44,32
05/14/2015,Ozone,45,6,1,26,45,26
05/15/2015,Ozone,42,6,0,27,42,31
05/16/2015,Ozone,37,6,0,12,37,27
05/17/2015,Ozone,39,6,0,13,39,21
05/18/2015,Ozone,37,6,0,25,37,33
05/19/2015,Ozone,36,7,1,23,36,27
05/20/2015,Ozone,35,5,,19,35,25
05/21/2015,Ozone,39,6,0,28,39,20
05/22/2015,Ozone,39,5,0,26,39,25
05/23/2015,PM2.5,40,5,0,12,40,40
05/24/2015,Ozone,39,5,0,8,39,36
05/25/2015,Ozone,36,5,0,9,36,21
05/26/2015,Ozone,36,6,4,29,36,18
05/27/2015,Ozone,35,5,0,23,35,27
05/28/2015,Ozone,41,5,0,21,41,23
05/29/2015,Ozone,42,6,0,21,42,25
05/30/2015,Ozone,51,6,0,14,51,29
05/31/2015,Ozone,41,6,0,9,41,36
06/01/2015,Ozone,36,6,0,22,36,23
06/02/2015,Ozone,32,6,0,25,32,25
06/03/2015,PM2.5,38,6,0,20,34,38
06/04/2015,PM2.5,48,5,0,19,44,48
06/05/2015,PM2.5,51,5,0,19,44,51
06/06/2015,Ozone,43,5,0,14,43,36
06/07/2015,Ozone,87,7,0,23,87,31
06/08/2015,Ozone,108,6,1,30,108,31
06/09/2015,Ozone,46,6,4,27,46,27
06/10/2015,Ozone,44,7,9,39,44,35
06/11/2015,Ozone,80,6,4,29,80,52
06/12/2015,Ozone,126,6,1,26,126,54
06/13/2015,Ozone,61,5,0,21,61,60
06/14/2015,PM2.5,64,6,0,11,44,64
06/15/2015,PM2.5,58,5,0,24,43,58
06/16/2015,Ozone,64,6,0,25,64,58
06/17/2015,Ozone,80,6,7,25,80,61
06/18/2015,PM2.5,51,5,0,21,44,51
06/19/2015,Ozone,45,6,0,23,45,43
06/20/2015,Ozone,58,6,0,19,58,40
06/21/2015,Ozone,49,6,0,10,49,40
06/22/2015,Ozone,45,6,0,22,45,35
06/23/2015,PM2.5,52,6,6,22,47,52
06/24/2015,Ozone,50,6,1,24,50,49
06/25/2015,Ozone,80,7,1,23,80,53
06/26/2015,Ozone,115,6,0,21,115,49
06/27/2015,Ozone,44,6,0,22,44,35
06/28/2015,Ozone,34,7,0,10,34,18
06/29/2015,Ozone,64,6,0,22,64,21
06/30/2015,Ozone,126,7,1,35,126,39
07/01/2015,Ozone,100,6,4,26,100,40
07/02/2015,Ozone,61,6,0,21,61,32
07/03/2015,Ozone,47,5,0,16,47,28
07/04/2015,PM2.5,52,5,0,13,44,52
07/05/2015,Ozone,32,5,0,10,32,24
07/06/2015,Ozone,34,5,0,16,34,23
07/07/2015,Ozone,29,5,0,19,29,25
07/08/2015,Ozone,27,5,1,18,27,22
07/09/2015,PM2.5,26,6,0,21,26,26
07/10/2015,Ozone,31,6,0,28,31,29
07/11/2015,Ozone,31,5,0,14,31,17
07/12/2015,Ozone,31,6,0,12,31,18
07/13/2015,Ozone,27,5,0,17,27,23
07/14/2015,Ozone,29,5,0,18,29,23
07/15/2015,Ozone,54,6,3,18,54,38
07/16/2015,Ozone,61,5,0,17,61,35
07/17/2015,Ozone,71,5,0,18,71,36
07/18/2015,Ozone,49,5,0,16,49,28
07/19/2015,Ozone,42,6,1,25,42,26
07/20/2015,PM2.5,36,7,1,25,29,36
07/21/2015,Ozone,33,5,0,17,33,26
07/22/2015,PM2.5,42,5,0,14,34,42
07/23/2015,PM2.5,38,5,0,15,32,38
07/24/2015,Ozone,40,5,0,19,40,27
07/25/2015,Ozone,24,5,0,10,24,20
07/26/2015,Ozone,31,5,1,8,31,30
07/27/2015,PM2.5,50,6,1,25,46,50
07/28/2015,Ozone,71,8,3,35,71,60
07/29/2015,Ozone,93,6,4,26,93,32
07/30/2015,Ozone,84,5,0,21,84,39
07/31/2015,Ozone,37,5,0,18,37,30
08/01/2015,Ozone,42,5,0,11,42,37
08/02/2015,PM2.5,38,5,0,10,32,38
08/03/2015,Ozone,33,5,0,20,33,27
08/04/2015,Ozone,29,5,0,23,29,21
08/05/2015,Ozone,51,7,11,21,51,37
08/06/2015,PM2.5,53,7,0,24,44,53
08/07/2015,PM2.5,52,6,0,23,42,52
08/08/2015,PM2.5,36,5,0,9,32,36
08/09/2015,Ozone,29,5,0,8,29,19
08/10/2015,Ozone,23,5,0,16,23,12
08/11/2015,Ozone,30,5,0,17,30,14
08/12/2015,Ozone,32,8,0,20,32,16
08/13/2015,Ozone,33,5,1,21,33,13
08/14/2015,Ozone,37,6,0,23,37,22
08/15/2015,PM2.5,80,7,1,33,80,80
08/16/2015,Ozone,140,10,4,32,140,124
08/17/2015,Ozone,140,7,0,35,140,81
08/18/2015,Ozone,87,7,0,27,87,76
08/19/2015,PM2.5,60,6,3,25,48,60
08/20/2015,PM2.5,55,6,0,24,48,55
08/21/2015,PM2.5,49,5,0,19,37,49
08/22/2015,Ozone,44,6,1,11,44,43
08/23/2015,PM2.5,44,6,0,13,41,44
08/24/2015,PM2.5,60,7,0,26,50,60
08/25/2015,PM2.5,64,7,1,34,48,64
08/26/2015,PM2.5,60,6,6,31,54,60
08/27/2015,PM2.5,42,7,7,29,36,42
08/28/2015,Ozone,34,8,1,31,34,31
08/29/2015,Ozone,27,5,0,11,27,13
08/30/2015,Ozone,36,6,0,18,36,24
08/31/2015,PM2.5,46,6,1,25,43,46
09/01/2015,PM2.5,43,,1,10,42,43
09/02/2015,Ozone,31,5,0,16,31,28
09/03/2015,PM2.5,37,5,0,18,37,37
09/04/2015,PM2.5,38,5,0,18,31,38
09/05/2015,Ozone,37,6,1,26,37,27
09/06/2015,PM2.5,49,8,1,23,46,49
09/07/2015,Ozone,80,9,3,36,80,38
09/08/2015,Ozone,108,10,4,56,108,53
09/09/2015,Ozone,112,9,10,42,112,45
09/10/2015,Ozone,67,7,3,45,67,35
09/11/2015,Ozone,90,7,1,33,90,36
09/12/2015,Ozone,39,6,0,22,39,36
09/13/2015,PM2.5,52,7,0,16,47,52
09/14/2015,PM2.5,29,6,3,21,29,29
09/15/2015,Ozone,36,5,3,22,36,29
09/16/2015,Ozone,36,6,1,25,36,18
09/17/2015,Ozone,40,6,0,24,40,30
09/18/2015,Ozone,45,9,3,27,45,38
09/19/2015,Ozone,87,8,3,34,87,46
09/20/2015,Ozone,147,13,4,32,147,50
09/21/2015,Ozone,80,8,3,52,80,58
09/22/2015,PM2.5,53,5,0,19,39,53
09/23/2015,PM2.5,51,6,3,30,48,51
09/24/2015,Ozone,61,8,4,40,61,40
09/25/2015,PM2.5,41,8,3,32,37,41
09/26/2015,PM2.5,33,7,1,16,31,33
09/27/2015,PM2.5,56,9,0,20,40,56
09/28/2015,PM2.5,45,6,0,26,40,45
09/29/2015,PM2.5,44,6,0,26,35,44
09/30/2015,PM2.5,47,7,6,35,29,47
10/01/2015,PM2.5,33,9,6,30,29,33
10/02/2015,PM2.5,44,9,1,25,41,44
10/03/2015,PM2.5,57,6,0,21,38,57
10/04/2015,PM2.5,52,6,0,17,43,52
10/05/2015,PM2.5,47,8,0,29,44,47
10/06/2015,Ozone,42,7,0,31,42,40
10/07/2015,PM2.5,55,7,9,29,47,55
10/08/2015,Ozone,64,11,4,42,64,53
10/09/2015,Ozone,54,7,6,34,54,40
10/10/2015,Ozone,44,6,0,21,44,25
10/11/2015,Ozone,42,7,0,25,42,30
10/12/2015,Ozone,61,10,3,35,61,55
10/13/2015,Ozone,71,10,4,56,71,56
10/14/2015,Ozone,49,8,14,45,49,46
10/15/2015,Ozone,41,16,3,34,41,36
10/16/2015,Ozone,38,6,1,30,38,34
10/17/2015,Ozone,41,5,0,15,41,19
10/18/2015,Ozone,40,7,0,25,40,18
10/19/2015,Ozone,34,7,0,25,34,18
10/20/2015,Ozone,36,19,4,27,36,32
10/21/2015,Ozone,39,7,11,33,39,38
10/22/2015,Ozone,64,8,3,31,64,52
10/23/2015,PM2.5,52,9,1,33,42,52
10/24/2015,Ozone,64,9,1,27,64,52
10/25/2015,Ozone,37,9,0,26,37,34
10/26/2015,Ozone,46,7,1,30,46,32
10/27/2015,NO2,37,8,4,37,36,31
10/28/2015,Ozone,34,7,1,31,34,23
10/29/2015,Ozone,40,7,1,27,40,28
10/30/2015,PM2.5,49,19,4,37,40,49
10/31/2015,PM2.5,32,14,4,25,28,32
11/01/2015,Ozone,33,7,0,19,33,15
11/02/2015,Ozone,38,6,0,29,38,18
11/03/2015,Ozone,30,6,1,25,30,21
11/04/2015,NO2,38,10,4,38,35,32
11/05/2015,PM2.5,45,13,7,34,34,45
11/06/2015,PM2.5,47,16,13,38,34,47
11/07/2015,PM2.5,54,15,3,33,34,54
11/08/2015,PM2.5,35,10,0,31,33,35
11/09/2015,Ozone,39,7,0,28,39,15
11/10/2015,Ozone,35,13,1,34,35,24
11/11/2015,PM2.5,56,17,4,34,33,56
11/12/2015,PM2.5,53,20,3,42,32,53
11/13/2015,PM2.5,60,20,1,37,34,60
11/14/2015,PM2.5,64,10,,35,36,64
11/15/2015,Ozone,37,7,,23,37,24
11/16/2015,Ozone,35,6,1,35,35,21
11/17/2015,NO2,39,9,1,39,31,28
11/18/2015,PM2.5,42,13,6,37,34,42
11/19/2015,PM2.5,38,15,1,37,34,38
11/20/2015,NO2,45,14,4,45,30,44
11/21/2015,PM2.5,60,10,1,35,38,60
11/22/2015,PM2.5,76,14,3,40,37,76
11/23/2015,PM2.5,65,14,1,28,36,65
11/24/2015,PM2.5,38,6,1,30,32,38
11/25/2015,NO2,34,11,1,34,32,32
11/26/2015,PM2.5,48,15,4,29,28,48
11/27/2015,PM2.5,41,10,3,34,31,41
11/28/2015,PM2.5,49,13,1,31,31,49
11/29/2015,PM2.5,65,11,1,36,33,65
11/30/2015,PM2.5,57,19,1,44,31,57
12/01/2015,PM2.5,47,13,1,41,35,47
12/02/2015,PM2.5,70,17,4,43,36,70
12/03/2015,PM2.5,55,17,1,37,32,55
12/04/2015,PM2.5,47,17,3,37,31,47
12/05/2015,PM2.5,55,22,1,31,32,55
12/06/2015,PM2.5,50,11,0,32,32,50
12/07/2015,PM2.5,53,9,0,34,31,53
12/08/2015,PM2.5,59,15,3,40,31,59
12/09/2015,PM2.5,40,13,,33,27,40
12/10/2015,Ozone,36,7,0,27,36,32
12/11/2015,Ozone,33,7,0,33,33,28
12/12/2015,PM2.5,33,9,1,25,33,33
12/13/2015,Ozone,34,6,0,18,34,24
12/14/2015,Ozone,31,6,1,27,31,20
12/15/2015,NO2,37,15,1,37,31,28
12/16/2015,PM2.5,51,18,4,39,28,51
12/17/2015,PM2.5,51,18,1,37,27,51
12/18/2015,PM2.5,40,14,1,32,31,40
12/19/2015,Ozone,31,8,0,25,31,22
12/20/2015,Ozone,31,10,1,23,31,27
12/21/2015,NO2,29,7,0,29,28,12
12/22/2015,NO2,36,7,0,36,33,32
12/23/2015,PM2.5,34,6,1,24,30,34
12/24/2015,PM2.5,32,7,0,28,31,32
12/25/2015,PM2.5,39,10,4,27,29,39
12/26/2015,PM2.5,43,11,3,32,29,43
12/27/2015,PM2.5,59,17,6,29,26,59
12/28/2015,PM2.5,49,14,1,30,25,49
12/29/2015,PM2.5,53,17,7,35,30,53
12/30/2015,PM2.5,53,17,1,39,27,53
12/31/2015,PM2.5,62,8,1,32,27,62
