Date,Main Pollutant,Overall AQI Value,PM10,PM25
01/01/2015,PM10,4,4,
01/02/2015,PM10,3,3,
01/03/2015,PM10,33,33,1
01/04/2015,PM10,17,17,
01/05/2015,PM10,23,23,
01/06/2015,PM10,28,28,
01/07/2015,PM10,22,22,
01/08/2015,PM10,21,21,
01/09/2015,PM10,24,24,2
01/10/2015,PM10,12,12,
01/11/2015,PM10,12,12,
01/12/2015,PM10,9,9,3
01/13/2015,PM10,15,15,
01/14/2015,PM10,25,25,
01/15/2015,PM10,23,23,2
01/16/2015,PM10,7,7,
01/17/2015,PM10,13,13,
01/18/2015,PM10,11,11,1
01/19/2015,PM10,9,9,
01/20/2015,PM10,19,19,
01/21/2015,PM10,18,18,3
01/22/2015,PM10,19,19,
01/23/2015,PM10,12,12,
01/24/2015,PM10,19,19,0
01/25/2015,PM10,20,20,
01/26/2015,PM10,26,26,
01/27/2015,PM10,6,6,2
01/28/2015,PM10,15,15,
01/29/2015,PM10,17,17,
01/30/2015,PM10,8,8,5
01/31/2015,PM10,16,16,
02/01/2015,PM10,19,19,
02/02/2015,PM10,8,8,3
02/03/2015,PM10,3,3,
02/04/2015,PM10,4,4,
02/05/2015,PM10,967,967,5
02/06/2015,PM10,3190,3190,
02/07/2015,PM10,1,1,
02/08/2015,PM10,6,6,3
02/09/2015,PM10,0,0,
02/10/2015,PM10,2,2,
02/11/2015,PM10,27,27,3
02/12/2015,PM10,3,3,
02/13/2015,PM10,15,15,
02/14/2015,PM10,19,19,3
02/15/2015,PM10,12,12,
02/16/2015,PM10,11,11,
02/17/2015,PM10,13,13,5
02/18/2015,PM10,11,11,
02/19/2015,PM10,6,6,
02/20/2015,PM10,14,14,5
02/21/2015,PM10,36,36,
02/22/2015,PM10,60,60,
02/23/2015,PM10,24,24,9
02/24/2015,PM10,15,15,
02/25/2015,PM10,14,14,
02/26/2015,PM10,13,13,4
02/27/2015,PM10,73,73,
02/28/2015,PM10,6,6,
03/01/2015,PM10,6,6,1
03/02/2015,PM10,6,6,
03/03/2015,PM10,15,15,
03/04/2015,PM10,26,26,6
03/05/2015,PM10,21,21,
03/06/2015,PM10,22,22,
03/07/2015,PM10,24,24,
03/08/2015,PM10,19,19,
03/09/2015,PM10,19,19,
03/10/2015,PM10,17,17,11
03/11/2015,PM10,60,60,
03/12/2015,PM10,8,8,
03/13/2015,PM10,12,12,2
03/14/2015,PM10,12,12,
03/15/2015,PM10,45,45,
03/16/2015,PM2.5,11,10,11
03/17/2015,PM10,7,7,
03/18/2015,PM10,6,6,
03/19/2015,PM10,10,10,5
03/20/2015,PM10,7,7,
03/21/2015,PM10,14,14,
03/22/2015,PM10,52,52,8
03/23/2015,PM10,77,77,
03/24/2015,PM10,4,4,
03/25/2015,PM10,6,6,3
03/26/2015,PM10,8,8,
03/27/2015,PM10,9,9,
03/28/2015,PM2.5,8,7,8
03/29/2015,PM10,13,13,
03/30/2015,PM10,24,24,
03/31/2015,PM10,143,143,24
04/01/2015,PM10,944,944,
04/02/2015,PM10,5,5,
04/03/2015,PM10,19,19,10
04/04/2015,PM10,167,167,
04/05/2015,PM10,3994,3994,
04/06/2015,PM10,13,13,7
04/07/2015,PM10,273,273,
04/08/2015,PM10,8,8,
04/09/2015,PM10,17,17,4
04/10/2015,PM10,15,15,
04/11/2015,PM10,17,17,
04/12/2015,PM2.5,10,10,10
04/13/2015,PM10,409,409,
04/14/2015,PM10,1732,1732,
04/15/2015,PM10,12,12,6
04/16/2015,PM10,16,16,
04/17/2015,PM10,8,8,
04/18/2015,PM10,11,11,10
04/19/2015,PM10,13,13,
04/20/2015,PM10,20,20,
04/21/2015,PM10,54,54,21
04/22/2015,PM10,18,18,
04/23/2015,PM10,6,6,
04/24/2015,PM2.5,9,7,9
04/25/2015,PM10,54,54,
04/26/2015,PM10,31,31,
04/27/2015,PM10,6,6,4
04/28/2015,PM10,9,9,
04/29/2015,PM10,12,12,
04/30/2015,PM10,40,40,
05/01/2015,PM10,15,15,
05/02/2015,PM10,15,15,
05/03/2015,PM10,63,63,
05/04/2015,PM10,31,31,
05/05/2015,PM10,66,66,
05/06/2015,PM2.5,18,14,18
05/07/2015,PM10,39,39,
05/08/2015,PM10,10,10,
05/09/2015,PM10,12,12,
05/10/2015,PM10,12,12,
05/11/2015,PM10,75,75,
05/12/2015,PM10,145,145,17
05/13/2015,PM10,167,167,
05/14/2015,PM10,9,9,
05/15/2015,PM10,6,6,5
05/16/2015,PM10,5,5,
05/17/2015,PM10,7,7,
05/18/2015,PM2.5,8,7,8
05/19/2015,PM10,18,18,
05/20/2015,PM10,23,23,
05/21/2015,PM10,8,8,7
05/22/2015,PM10,5,5,
05/23/2015,PM10,4,4,
05/24/2015,PM10,7,7,3
05/25/2015,PM10,10,10,
05/26/2015,PM10,12,12,
05/27/2015,PM2.5,15,9,15
05/28/2015,PM10,6,6,
05/29/2015,PM10,8,8,
05/30/2015,PM10,11,11,9
05/31/2015,PM10,56,56,
06/01/2015,PM10,16,16,
06/02/2015,PM2.5,8,7,8
06/03/2015,PM10,8,8,
06/04/2015,PM10,12,12,
06/05/2015,PM10,9,9,
06/06/2015,PM10,8,8,
06/07/2015,PM10,9,9,
06/08/2015,PM2.5,8,8,8
06/09/2015,PM10,17,17,
06/10/2015,PM10,10,10,
06/11/2015,PM2.5,9,8,9
06/12/2015,PM10,8,8,
06/13/2015,PM10,19,19,
06/14/2015,PM2.5,9,8,9
06/15/2015,PM10,6,6,
06/16/2015,PM10,6,6,
06/17/2015,PM2.5,15,13,15
06/18/2015,PM10,12,12,
06/19/2015,PM10,15,15,
06/20/2015,PM10,17,17,12
06/21/2015,PM10,20,20,
06/22/2015,PM10,9,9,
06/23/2015,PM2.5,45,22,45
06/24/2015,PM10,19,19,
06/25/2015,PM10,15,15,
06/26/2015,PM2.5,33,19,33
06/27/2015,PM10,20,20,
06/28/2015,PM10,38,38,
06/29/2015,PM2.5,12,12,12
06/30/2015,PM10,65,65,
07/01/2015,PM10,56,56,
07/02/2015,PM2.5,10,10,10
07/03/2015,PM10,12,12,
07/04/2015,PM10,9,9,
07/05/2015,PM10,12,12,10
07/06/2015,PM10,7,7,
07/07/2015,PM10,7,7,
07/08/2015,PM2.5,8,6,8
07/09/2015,PM10,4,4,
07/10/2015,PM10,6,6,
07/11/2015,PM10,11,11,9
07/12/2015,PM10,9,9,
07/13/2015,PM10,7,7,
07/14/2015,PM2.5,12,11,12
07/15/2015,PM10,9,9,
07/16/2015,PM10,58,58,
07/17/2015,PM2.5,16,14,16
07/18/2015,PM10,26,26,
07/19/2015,PM10,22,22,
07/20/2015,PM10,19,19,15
07/21/2015,PM10,12,12,
07/22/2015,PM10,40,40,
07/23/2015,PM2.5,15,14,15
07/24/2015,PM10,12,12,
07/25/2015,PM10,19,19,
07/26/2015,PM10,40,40,30
07/27/2015,PM10,14,14,
07/28/2015,PM10,13,13,
07/29/2015,PM10,27,27,10
07/30/2015,PM10,51,51,
07/31/2015,PM10,12,12,
08/01/2015,PM10,21,21,10
08/02/2015,PM10,8,8,
08/03/2015,PM10,11,11,
08/04/2015,PM10,14,14,13
08/05/2015,PM10,2,2,
08/06/2015,PM10,8,8,
08/07/2015,PM2.5,13,13,13
08/08/2015,PM10,13,13,
08/09/2015,PM10,14,14,
08/10/2015,PM2.5,33,24,33
08/11/2015,PM10,51,51,
08/12/2015,PM10,32,32,
08/13/2015,PM2.5,55,33,55
08/14/2015,PM10,24,24,
08/15/2015,PM10,9,9,
08/16/2015,PM2.5,31,25,31
08/17/2015,PM10,16,16,
08/18/2015,PM10,25,25,
08/19/2015,PM2.5,25,17,25
08/20/2015,PM10,14,14,
08/21/2015,PM10,42,42,
08/22/2015,PM2.5,56,43,56
08/23/2015,PM10,51,51,
08/24/2015,PM10,46,46,
08/25/2015,PM2.5,21,14,21
08/26/2015,PM10,10,10,
08/27/2015,PM10,16,16,
08/28/2015,PM2.5,44,42,44
08/29/2015,PM10,53,53,
08/30/2015,PM10,11,11,
08/31/2015,PM2.5,20,20,20
09/01/2015,PM10,38,38,
09/02/2015,PM10,53,53,
09/03/2015,PM10,44,44,20
09/04/2015,PM10,43,43,
09/05/2015,PM10,20,20,
09/06/2015,PM2.5,38,36,38
09/07/2015,PM10,65,65,
09/08/2015,PM10,30,30,
09/09/2015,PM2.5,44,28,44
09/10/2015,PM10,27,27,
09/11/2015,PM10,31,31,
09/12/2015,PM10,58,58,56
09/13/2015,PM10,60,60,
09/14/2015,PM10,27,27,
09/15/2015,PM2.5,10,7,10
09/16/2015,PM10,4,4,
09/17/2015,PM10,0,0,
09/18/2015,PM10,9,9,7
09/19/2015,PM10,6,6,
09/20/2015,PM10,11,11,
09/21/2015,PM2.5,20,17,20
09/22/2015,PM10,10,10,
09/23/2015,PM10,6,6,
09/24/2015,PM2.5,13,13,13
09/25/2015,PM10,15,15,
09/26/2015,PM10,12,12,
09/27/2015,PM2.5,20,18,20
09/28/2015,PM10,8,8,
09/29/2015,PM10,8,8,
09/30/2015,PM10,11,11,3
10/01/2015,PM10,5,5,
10/02/2015,PM10,5,5,
10/03/2015,PM2.5,12,9,12
10/04/2015,PM10,1,1,
10/05/2015,PM10,5,5,
10/06/2015,PM10,11,11,7
10/07/2015,PM10,6,6,
10/08/2015,PM10,7,7,
10/09/2015,PM10,9,9,6
10/10/2015,PM10,7,7,
10/11/2015,PM10,6,6,
10/12/2015,PM10,15,15,8
10/13/2015,PM10,10,10,
10/14/2015,PM10,9,9,
10/15/2015,PM10,6,6,4
10/16/2015,PM10,3,3,
10/17/2015,PM10,3,3,
10/18/2015,PM2.5,4,4,4
10/19/2015,PM10,3,3,
10/20/2015,PM10,4,4,
10/21/2015,PM10,7,7,5
10/22/2015,PM10,8,8,
10/23/2015,PM10,9,9,
10/24/2015,PM10,14,14,8
10/25/2015,PM10,4,4,
10/26/2015,PM10,4,4,
10/27/2015,PM10,8,8,3
10/28/2015,PM10,4,4,
10/29/2015,PM10,5,5,
10/30/2015,PM10,10,10,2
10/31/2015,PM10,5,5,
11/01/2015,PM10,5,5,
11/02/2015,PM10,6,6,0
11/03/2015,PM10,3,3,
11/04/2015,PM10,6,6,
11/05/2015,PM10,24,24,3
11/06/2015,PM10,19,19,
11/07/2015,PM10,30,30,
11/08/2015,PM10,14,14,3
11/09/2015,PM10,4,4,
11/10/2015,PM10,4,4,
11/11/2015,PM10,20,20,3
11/12/2015,PM10,34,34,
11/13/2015,PM10,31,31,
11/14/2015,PM10,17,17,3
11/15/2015,PM10,356,356,
11/16/2015,PM10,9,9,
11/17/2015,PM10,26,26,1
11/18/2015,PM10,29,29,
11/19/2015,PM10,31,31,
11/20/2015,PM10,27,27,3
11/21/2015,PM10,29,29,
11/22/2015,PM10,30,30,
11/23/2015,PM10,9,9,3
11/24/2015,PM10,778,778,
11/25/2015,PM10,28,28,
11/26/2015,PM10,8,8,3
11/27/2015,PM10,3,3,
11/28/2015,PM10,24,24,
11/29/2015,PM10,41,41,3
11/30/2015,PM10,24,24,
12/01/2015,PM10,38,38,
12/02/2015,PM10,48,48,2
12/03/2015,PM10,482,482,
12/04/2015,PM10,10,10,
12/05/2015,PM10,55,55,3
12/06/2015,PM10,1968,1968,
12/07/2015,PM10,6,6,
12/08/2015,PM10,19,19,1
12/09/2015,PM10,326,326,
12/10/2015,PM10,609,609,
12/11/2015,PM10,14,14,0
12/12/2015,PM10,19,19,
12/13/2015,PM10,153,153,
12/14/2015,PM10,16,16,1
12/15/2015,PM10,19,19,
12/16/2015,PM10,27,27,
12/17/2015,PM10,19,19,2
12/18/2015,PM10,18,18,
12/19/2015,PM10,5,5,
12/20/2015,PM10,4,4,0
12/21/2015,PM10,4,4,
12/22/2015,PM10,173,173,
12/23/2015,PM10,13,13,5
12/24/2015,PM10,8,8,
12/25/2015,PM10,3,3,
12/26/2015,PM10,47,47,1
12/27/2015,PM10,28,28,
12/28/2015,PM10,4,4,
12/29/2015,PM10,31,31,1
12/30/2015,PM10,13,13,
12/31/2015,PM10,41,41,
